cluster,incident_type,lat,lng
0,BURGLARY,38.95317,-92.35706
0,DISTURBANCE,38.96541,-92.36496
0,TRESPASSING,38.97245,-92.36267
0,TRAFFIC STOP,38.98455,-92.36872
0,CHECK THE WELFARE,38.9629,-92.37609
0,TRAFFIC STOP,38.94691,-92.35859
0,TRAFFIC STOP,38.97245,-92.36267
0,FOOT PATROL,38.93041,-92.36469
0,ABANDONED VEHICLE,38.96622,-92.36725
0,CIVIL MATTER,38.95177,-92.35218
0,911 CHECKS,38.96622,-92.34412
0,PARKING VIOLATION,38.95317,-92.35706
0,ASSIST CITIZEN,38.9775,-92.3513
0,LAW ALARM,38.9613,-92.3725
0,ASSIST FIRE,38.95878,-92.37469
0,OTHER OFFENSE,38.93729,-92.36064
0,911 CHECKS,38.94692,-92.37893
0,BURGLARY,38.9675,-92.36555
0,DISTURBANCE,38.94941,-92.3595
0,LAW ALARM,38.94939,-92.37105
0,911 CHECKS,38.93602,-92.35945
0,SUSPICIOUS INCIDENT,38.97245,-92.36267
0,PARKING VIOLATION,38.9608,-92.36461
0,SUSPICIOUS VEHICLE,38.9817,-92.37233
0,CHECK THE WELFARE,38.96741,-92.34617
0,LARCENY,38.97241,-92.3739
0,ASSIST MEDICS,38.9466,-92.3715
0,BURGLARY,38.9666,-92.3526
0,SUSPICIOUS PERSON,38.96542,-92.36555
0,VANDALISM,38.93573,-92.35954
0,ASSIST CITIZEN,38.9616,-92.36767
0,ASSIST CITIZEN,38.96179,-92.36325
0,HARASSMENT,38.96286,-92.36549
0,ACCIDENT,38.9667,-92.3712
0,ACCIDENT,38.96591,-92.37071
0,ACCIDENT,38.9551,-92.3847
0,SUSPICIOUS PERSON,38.96542,-92.36555
0,ACCIDENT,38.96737,-92.34531
0,LAW ALARM,38.95688,-92.37278
0,MISSING PERSON,38.9466,-92.3715
0,CHECK SUBJECT,38.93773,-92.36425
0,TRESPASSING,38.95696,-92.38247
0,SUSPICIOUS PERSON,38.97637,-92.37263
0,TRESPASSING,38.96327,-92.37416
0,AUTO THEFT,38.97245,-92.36267
0,TRESPASS SUBJECT,38.96308,-92.37293
0,911 CHECKS,38.96199,-92.3515
0,LAW ALARM,38.9653,-92.3712
0,LAW ALARM,38.95652,-92.36521
0,DISTURBANCE,38.96173,-92.36507
0,911 CHECKS,38.96202,-92.36455
0,911 CHECKS,38.96542,-92.36555
0,911 CHECKS,38.9551,-92.3847
0,LEAVING THE SCENE ACCIDENT,38.97009,-92.3477
0,BURGLARY,38.93581,-92.3611
0,ASSIST OFFICER,38.9546,-92.3598
0,LARCENY MV,38.95203,-92.37025
0,BURGLARY,38.95722,-92.35151
0,LARCENY,38.9381,-92.3593
0,DWI,38.9599,-92.3574
0,CHECK SUBJECT,38.9662,-92.3494
0,ACCIDENT,38.96391,-92.36565
0,911 CHECKS,38.96715,-92.36176
0,DISTURBANCE,38.9682,-92.3685
0,DISTURBANCE,38.95899,-92.35027
0,911 CHECKS,38.96379,-92.35788
0,911 CHECKS,38.97771,-92.37723
0,ASSAULT,38.96333,-92.37578
0,911 CHECKS,38.9551,-92.3847
0,LEAVING THE SCENE ACCIDENT,38.9658,-92.3736
0,SUSPICIOUS VEHICLE,38.9543,-92.3761
0,DISTURBANCE,38.98597,-92.3695
0,SUSPICIOUS VEHICLE,38.96327,-92.37416
0,TRESPASS SUBJECT,38.9526,-92.3578
1,DISTURBANCE,0.0,0.0
1,911 CHECKS,0.0,0.0
1,SPECIAL ASSIGNMENT,0.0,0.0
1,911 CHECKS,0.0,0.0
1,911 CHECKS,0.0,0.0
1,LAW ALARM,0.0,0.0
1,911 CHECKS,0.0,0.0
1,911 CHECKS,0.0,0.0
1,911 CHECKS,0.0,0.0
1,TRAFFIC STOP,0.0,0.0
1,CIVIL MATTER,0.0,0.0
1,ACCIDENT,0.0,0.0
1,ACCIDENT,0.0,0.0
1,WARRANT,0.0,0.0
1,ACCIDENT,0.0,0.0
1,LAW ALARM,0.0,0.0
1,TRAFFIC,0.0,0.0
1,911 CHECKS,0.0,0.0
1,TRAFFIC,0.0,0.0
1,OTHER OFFENSE,0.0,0.0
1,911 CHECKS,0.0,0.0
1,911 CHECKS,0.0,0.0
1,911 CHECKS,0.0,0.0
1,SPECIAL ASSIGNMENT,0.0,0.0
1,LEAVING THE SCENE ACCIDENT,0.0,0.0
1,DISTURBANCE,0.0,0.0
1,TRAFFIC STOP,0.0,0.0
1,SUSPICIOUS VEHICLE,0.0,0.0
1,DISTURBANCE,0.0,0.0
1,INVESTIGATION,0.0,0.0
1,SUSPICIOUS INCIDENT,0.0,0.0
1,CHECK SUBJECT,0.0,0.0
1,DISTURBANCE,0.0,0.0
1,911 CHECKS,0.0,0.0
1,911 CHECKS,0.0,0.0
1,BURGLARY,0.0,0.0
1,TRAFFIC STOP,0.0,0.0
1,ACCIDENT,0.0,0.0
1,CHECK OPEN BUSINESS,0.0,0.0
1,STALLED VEHICLE,0.0,0.0
1,ASSAULT,0.0,0.0
1,911 CHECKS,0.0,0.0
1,MISSING PERSON,0.0,0.0
1,PUBLIC RELATIONS,0.0,0.0
1,SPECIAL ASSIGNMENT,0.0,0.0
1,TRAFFIC STOP,0.0,0.0
1,TRAFFIC STOP,0.0,0.0
1,VANDALISM,0.0,0.0
1,PARKING VIOLATION,0.0,0.0
1,SUSPICIOUS PERSON,0.0,0.0
1,911 CHECKS,0.0,0.0
1,CHECK SUBJECT,0.0,0.0
1,911 CHECKS,0.0,0.0
1,911 CHECKS,0.0,0.0
1,911 CHECKS,0.0,0.0
1,RECOVER PROPERTY,0.0,0.0
1,DISTURBANCE,0.0,0.0
1,CHECK SUBJECT,0.0,0.0
1,TRAFFIC STOP,0.0,0.0
1,911 CHECKS,0.0,0.0
2,TRAFFIC,38.9379,-92.3343
2,DWI,38.9515,-92.3265
2,CHECK SUBJECT,38.93819,-92.35111
2,TRAFFIC STOP,38.96017,-92.32459
2,TRAFFIC STOP,38.9526,-92.3265
2,LEAVING THE SCENE ACCIDENT,38.9505,-92.3276
2,DISTURBANCE,38.95723,-92.34396
2,DWI,38.9499,-92.3276
2,LARCENY MV,38.96297,-92.32342
2,TRAFFIC STOP,38.96474,-92.33143
2,CHECK SUBJECT,38.94987,-92.32676
2,TRAFFIC STOP,38.9494,-92.3105
2,SUSPICIOUS VEHICLE,38.9602,-92.32905
2,ASSIST CITIZEN,38.9633,-92.3387
2,911 CHECKS,38.954167,-92.33414
2,DISTURBANCE,38.9633,-92.3398
2,SUSPICIOUS INCIDENT,38.9585,-92.33271
2,LAW ALARM,38.96772,-92.31883
2,MISCHIEF,38.96164,-92.32737
2,CHECK SUBJECT,38.96429,-92.32096
2,SPECIAL ASSIGNMENT,38.9525,-92.3305
2,TRAFFIC,38.9525,-92.3217
2,LAW ALARM,38.95165,-92.34255
2,SPECIAL ASSIGNMENT,38.95248,-92.33047
2,911 CHECKS,38.9505,-92.3281
2,CHECK TRAFFIC LIGHTS,38.938,-92.3434
2,TRESPASSING,38.94991,-92.33378
2,CHECK SUBJECT,38.95081,-92.32839
2,TRAFFIC,38.9647,-92.3339
2,911 CHECKS,38.96,-92.3316
2,CHECK BUILDING,38.95248,-92.33047
2,RECOVER PROPERTY,38.95248,-92.33047
2,KEEP THE PEACE,38.9525,-92.3305
2,ASSIST CITIZEN,38.95248,-92.33047
2,ASSIST FIRE,38.9596,-92.33842
2,ACCIDENT,38.95137,-92.32923
2,TRESPASSING,38.94991,-92.33378
2,HARASSMENT,38.95893,-92.33719
2,SPECIAL ASSIGNMENT,38.9525,-92.3305
2,DISTURBANCE,38.95828,-92.33964
2,LAW ALARM,38.95287,-92.33482
2,911 CHECKS,38.95139,-92.33602
2,HARASSMENT,38.96686,-92.32145
2,911 CHECKS,38.95216,-92.32661
2,ACCIDENT,38.9577,-92.3364
2,ACCIDENT,38.96538,-92.33227
2,FRAUD,38.94748,-92.347
2,911 CHECKS,38.93411,-92.32524
2,SPECIAL ASSIGNMENT,38.95248,-92.33047
2,FUNERAL ESCORT,38.9525,-92.3305
2,TRAFFIC STOP,38.9517,-92.333
2,911 CHECKS,38.94775,-92.32712
2,SUSPICIOUS VEHICLE,38.96295,-92.34384
2,SUSPICIOUS PERSON,38.94854,-92.32316
2,HARASSMENT,38.96194,-92.3352
2,911 CHECKS,38.94902,-92.31419
2,SUSPICIOUS VEHICLE,38.95456,-92.32255
2,ASSIST MEDICS,38.94965,-92.32589
2,FRAUD,38.95092,-92.33614
2,SPECIAL ASSIGNMENT,38.9525,-92.3305
2,PARKING VIOLATION,38.9447,-92.3179
2,VANDALISM,38.95285,-92.32381
2,CHECK SUBJECT,38.96201,-92.33795
2,SUSPICIOUS INCIDENT,38.95344,-92.34016
2,LARCENY,38.94961,-92.31283
2,OTHER OFFENSE,38.95248,-92.33047
2,LARCENY,38.94505,-92.34261
2,TRESPASSING,38.96512,-92.33493
2,LARCENY,38.96117,-92.34148
2,ASSIST CITIZEN,38.94535,-92.31524
2,SHOPLIFTING,38.96458,-92.33668
2,DISTURBANCE,38.95871,-92.33902
2,DISTURBANCE,38.9622,-92.341
2,911 CHECKS,38.964,-92.3247
2,ACCIDENT,38.964,-92.3247
2,CHECK THE WELFARE,38.9537,-92.3341
2,911 CHECKS,38.96349,-92.33931
2,DISTURBANCE,38.95062,-92.32666
2,911 CHECKS,38.9505,-92.3297
2,ASSIST MEDICS,38.9651,-92.33543
2,LARCENY,38.96485,-92.32419
2,911 CHECKS,38.94791,-92.32343
2,C&I DRIVING,38.954,-92.3389
2,TRAFFIC HAZARD,38.94442,-92.31811
2,DWI,38.9647,-92.3339
2,BURGLARY,38.95621,-92.33155
2,LARCENY,38.94827,-92.30867
2,ACCIDENT,38.9513,-92.3437
2,ACCIDENT,38.9513,-92.3437
2,TRESPASSING,38.94907,-92.31419
2,CHECK SUBJECT,38.9553,-92.3355
2,DWI,38.96463,-92.32797
2,CHECK SUBJECT,38.956,-92.3365
2,911 CHECKS,38.94836,-92.32443
2,LAW ALARM,38.96249,-92.34306
2,FOOT PATROL,38.9504,-92.33325
2,CHECK SUBJECT,38.94977,-92.33338
